Date,Year,Water_Level,Water_Level_Change,state,district,WLCODE,SITE_TYPE,Season,lat,lon
15-01-2023,2023,24.5,0.3,Maharashtra,Thane,W1,Observation,Winter,19.2183,72.9781
15-02-2023,2023,24.2,-0.3,Maharashtra,Thane,W1,Observation,Winter,19.2183,72.9781
15-03-2023,2023,23.7,-0.5,Maharashtra,Thane,W1,Borewell,Summer,19.2183,72.9781
15-04-2023,2023,23.1,-0.6,Maharashtra,Thane,W1,Borewell,Summer,19.2183,72.9781
15-05-2023,2023,22.8,-0.3,Maharashtra,Thane,W1,Observation,Summer,19.2183,72.9781
15-06-2023,2023,23.4,0.6,Maharashtra,Thane,W1,Observation,Monsoon,19.2183,72.9781
15-07-2023,2023,24.1,0.7,Maharashtra,Thane,W1,Borewell,Monsoon,19.2183,72.9781
15-08-2023,2023,25.0,0.9,Maharashtra,Thane,W1,Borewell,Monsoon,19.2183,72.9781
15-09-2023,2023,24.8,-0.2,Maharashtra,Thane,W1,Observation,Monsoon,19.2183,72.9781
15-10-2023,2023,24.3,-0.5,Maharashtra,Thane,W1,Observation,Post-Monsoon,19.2183,72.9781
15-11-2023,2023,24.1,-0.2,Maharashtra,Thane,W1,Borewell,Post-Monsoon,19.2183,72.9781
15-12-2023,2023,24.0,-0.1,Maharashtra,Thane,W1,Borewell,Winter,19.2183,72.9781
