District,Latitude,Longitude,Region,N,P,K,pH,Rainfall,Crop
Achalpur,21.27405,77.56868,Vidarbha,47,28,65,7.1,1013,Sugarcane
Achalpur,21.3417,77.53776,Vidarbha,65,28,50,7.2,1001,Sugarcane
Achalpur,21.34532,77.53547,Vidarbha,46,23,57,7.5,1137,Cotton
Achalpur,21.31377,77.59593,Vidarbha,57,25,59,7.7,882,Soybean
Achalpur,21.28582,77.5647,Vidarbha,55,28,52,7.3,927,Sugarcane
Achalpur,21.29274,77.508,Vidarbha,53,23,43,7.5,926,Cotton
Achalpur,21.3512,77.52693,Vidarbha,57,23,42,7.3,934,Sugarcane
Achalpur,21.31532,77.58263,Vidarbha,75,33,57,7.4,863,Soybean
Achalpur,21.25596,77.5249,Vidarbha,67,27,57,6.9,1044,Sugarcane
Achalpur,21.29713,77.60927,Vidarbha,52,22,56,7.5,860,Soybean
Achalpur,21.2979,77.55177,Vidarbha,52,32,37,8.1,1109,Cotton
Achalpur,21.38871,77.44323,Vidarbha,67,24,52,7.8,1011,Cotton
Achalpur,21.26468,77.51815,Vidarbha,63,28,55,7.3,1069,Sugarcane
Achalpur,21.32666,77.5762,Vidarbha,73,38,49,7.5,962,Cotton
Achalpur,21.28874,77.59174,Vidarbha,44,29,35,7.2,995,Sugarcane
Achalpur,21.27534,77.54916,Vidarbha,56,25,62,7.5,968,Cotton
Achalpur,21.35638,77.54246,Vidarbha,45,24,67,7.7,977,Cotton
Achalpur,21.22798,77.57614,Vidarbha,66,27,54,7.6,872,Soybean
Achalpur,21.26567,77.51674,Vidarbha,54,32,57,7.6,960,Cotton
Achalpur,21.27468,77.56187,Vidarbha,62,31,50,7.4,977,Sugarcane
Achalpur,21.2653,77.53824,Vidarbha,56,25,50,7.7,949,Cotton
Achalpur,21.36184,77.47156,Vidarbha,70,33,35,7.5,946,Cotton
Achalpur,21.26183,77.50896,Vidarbha,59,28,45,7.8,990,Cotton
Achalpur,21.26715,77.60889,Vidarbha,62,33,54,7.4,822,Soybean
Achalpur,21.25395,77.57722,Vidarbha,51,36,38,7.5,952,Cotton
Achalpur,21.33663,77.60423,Vidarbha,56,32,50,7,825,Soybean
Achalpur,21.31652,77.51173,Vidarbha,49,35,48,7.1,1024,Sugarcane
Achalpur,21.27858,77.55176,Vidarbha,47,27,29,7,1146,Sugarcane
Achalpur,21.30973,77.60168,Vidarbha,72,30,60,7.7,983,Cotton
Achalpur,21.25821,77.53806,Vidarbha,67,29,42,7.3,1053,Sugarcane
Achalpur,21.31956,77.56815,Vidarbha,61,23,43,7.5,897,Soybean
Achalpur,21.32631,77.60018,Vidarbha,64,33,41,7.2,876,Soybean
Achalpur,21.23027,77.51107,Vidarbha,43,23,66,7.7,851,Soybean
Achalpur,21.27913,77.52141,Vidarbha,58,33,55,6.9,840,Soybean
Achalpur,21.27498,77.57782,Vidarbha,62,26,41,7.6,863,Soybean
Achalpur,21.33763,77.6438,Vidarbha,62,30,42,7.3,876,Soybean
Achalpur,21.315,77.55724,Vidarbha,67,28,49,7.6,818,Soybean
Achalpur,21.31486,77.52996,Vidarbha,65,32,36,7.4,1016,Sugarcane
Achalpur,21.32706,77.55981,Vidarbha,56,27,56,7.6,1108,Cotton
Achalpur,21.29591,77.43394,Vidarbha,68,36,53,7.5,905,Cotton
Achalpur,21.31889,77.5378,Vidarbha,63,40,41,7.3,916,Sugarcane
Achalpur,21.2659,77.54866,Vidarbha,34,24,44,7.3,1023,Sugarcane
Achalpur,21.34412,77.50723,Vidarbha,57,26,53,8.1,703,Cotton
Achalpur,21.23107,77.57774,Vidarbha,56,35,51,7.7,934,Cotton
Achalpur,21.36258,77.50043,Vidarbha,28,30,48,7.6,997,Cotton
Achalpur,21.36696,77.53475,Vidarbha,53,27,34,7.4,798,Soybean
Achalpur,21.23978,77.53504,Vidarbha,70,34,55,7.8,855,Cotton
Achalpur,21.35716,77.57516,Vidarbha,59,29,57,7.4,1051,Sugarcane
